공간정보일련번호,해수욕장명,경도,위도,공간정보
234,통영공설,128.439703,34.819634,POINT (1085938.5409230217 1647628.8599814938)
235,관성솔밭,129.451999,35.659864,POINT (1176692.429974733 1742163.506159543)
236,나정고운모래,129.491279,35.783249,POINT (1179970.619452461 1755922.0895014582)
237,봉길대왕암,129.48406,35.739385,POINT (1179416.5989007133 1751042.9502127834)
238,오류고아라,129.509459,35.822149,POINT (1181525.3586308698 1760270.93152626)
239,전촌솔밭,129.49134,35.786945,POINT (1179967.7973404918 1756332.2062732507)
240,경정,129.432861,35.481534,POINT (1175348.20868874 1722347.593243796)
241,고래불,129.412155,36.598785,POINT (1171035.0311605157 1846252.7199564371)
242,남호,129.379984,36.32758,POINT (1168744.0854039562 1816108.1880557376)
243,대진,129.426675,36.565298,POINT (1172408.41540273 1842563.498826765)
244,오보,129.432838,36.441238,POINT (1173236.278120579 1828811.0332063122)
245,장사,129.376064,36.282274,POINT (1168489.6718478124 1811075.186303136)
246,하저,129.408193,36.389584,POINT (1171140.491751793 1823036.5034086935)
247,구산,129.468264,36.752803,POINT (1175703.585371534 1863441.7938185947)
248,기성망양,129.434534,36.842795,POINT (1172490.2294473327 1873364.7870328375)
249,나곡,129.371426,37.126398,POINT (1166244.1954927954 1904718.2697794482)
250,망양정,129.413086,36.968856,POINT (1170297.1051944022 1887312.5932044715)
251,봉평,129.413216,37.043793,POINT (1170141.5092814425 1895627.1279288947)
252,후정,129.413641,37.072053,POINT (1170116.1760624547 1898763.3760420536)
253,후포,129.442662,36.675178,POINT (1173592.519370562 1854782.8947675978)
254,구룡포,129.566197,35.996968,POINT (1186241.139860708 1779771.3416023538)
255,도구,129.443563,35.992065,POINT (1175196.7428785258 1778999.9726647239)
256,영일대,129.378129,36.055236,POINT (1169162.5710147703 1785892.0985333512)
257,월포,129.37139,36.203115,POINT (1168239.4882232838 1802285.3902499254)
258,칠포,129.400745,36.131716,POINT (1171033.9468343412 1794415.97704523)
259,화진,129.373763,36.252513,POINT (1168346.8916198867 1807769.5705467812)
260,일광,129.233693,35.261626,POINT (1157705.2520391447 1697619.696808115)
261,임랑,129.26439,35.318972,POINT (1160384.6989392755 1704029.6977177928)
262,다대포,128.964082,35.045957,POINT (1133530.155934236 1673304.3179828434)
263,송도,129.017834,35.076209,POINT (1138381.8689214394 1676732.865216016)
264,광안리,129.11755,35.152134,POINT (1147337.0531218143 1685296.9576472158)
265,송정,129.199542,35.1787,POINT (1154755.794271893 1688368.0636551746)
266,해운대,129.161629,35.15875,POINT (1151340.177644784 1686096.9453682187)
267,일산,129.431157,35.494196,POINT (1175166.1104401862 1723749.1094125584)
268,진하,129.345911,35.383449,POINT (1167662.5108436104 1711316.6393575505)
269,대빈창,126.22844,37.646383,POINT (887824.1306701589 1961526.990328298)
270,동막,126.458791,37.592434,POINT (908079.7195697678 1955290.8194088074)
271,민머루,126.333573,37.651038,POINT (897105.6352177641 1961922.9230265538)
272,조개골,126.199815,37.658272,POINT (885317.0381869088 1962880.7315750874)
273,구리동,125.685328,37.667963,POINT (839954.1387346216 1964709.9261097223)
274,굴업도,125.978397,37.188376,POINT (864944.1522072746 1911038.9517215574)
275,밧지름,126.140902,37.214958,POINT (879411.0059583874 1913768.8792914737)
276,사곶,124.719328,37.950666,POINT (755677.3829579124 1998173.9920235113)
277,사탄동,124.680342,37.815286,POINT (751796.8141426389 1983252.1451402078)
278,서포리,126.11512,37.219677,POINT (877130.9766047904 1914325.5718541446)
279,십리포,126.484695,37.281793,POINT (909995.3542451422 1920801.3873849509)
280,옹암,126.373345,37.529708,POINT (900452.6775315369 1948418.4803589464)
281,이일레,126.302059,37.165361,POINT (893641.0711317641 1908073.4004704005)
282,작은풀안,126.257701,37.170857,POINT (889710.5791176453 1908733.8213030389)
283,장경리,126.451235,37.274236,POINT (907019.8121213615 1919995.3551383393)
284,장골,126.314272,37.249309,POINT (894842.0097848271 1917373.263791028)
